iter	Passed	Remaining
0	0	51
1	0	45
2	1	46
3	1	45
4	2	45
5	2	44
6	3	43
7	3	42
8	4	41
9	4	40
10	4	39
11	5	38
12	5	38
13	6	37
14	6	36
15	6	35
16	7	35
17	7	34
18	8	34
19	8	33
20	8	33
21	9	32
22	9	31
23	9	31
24	10	31
25	10	30
26	11	30
27	11	29
28	11	29
29	12	28
30	12	28
31	13	27
32	13	27
33	13	26
34	14	26
35	14	25
36	14	25
37	15	24
38	15	24
39	16	24
40	16	24
41	17	23
42	17	23
43	18	23
44	18	22
45	18	22
46	19	21
47	19	21
48	20	20
49	20	20
50	20	20
51	21	19
52	21	19
53	22	18
54	22	18
55	22	17
56	23	17
57	23	17
58	24	16
59	24	16
60	24	15
61	25	15
62	25	15
63	25	14
64	26	14
65	26	13
66	27	13
67	27	12
68	27	12
69	28	12
70	28	11
71	29	11
72	29	10
73	30	10
74	30	10
75	31	9
76	31	9
77	31	9
78	32	8
79	32	8
80	33	7
81	33	7
82	34	6
83	34	6
84	34	6
85	35	5
86	35	5
87	36	4
88	36	4
89	36	4
90	37	3
91	37	3
92	38	2
93	38	2
94	38	2
95	39	1
96	39	1
97	40	0
98	40	0
99	40	0
