iter	Passed	Remaining
0	0	842
1	1	734
2	2	696
3	2	682
4	3	685
5	4	675
6	4	664
7	5	663
8	6	663
9	6	661
10	7	661
11	8	671
12	8	668
13	9	663
14	10	659
15	10	659
16	11	655
17	12	655
18	12	660
19	13	673
20	14	678
21	15	681
22	16	681
23	16	682
24	17	679
25	17	674
26	18	671
27	19	668
28	19	664
29	20	663
30	21	660
31	21	659
32	22	658
33	23	658
34	23	656
35	24	655
36	25	656
37	25	657
38	26	663
39	27	665
40	28	663
41	29	662
42	29	661
43	30	661
44	31	658
45	31	656
46	32	654
47	33	655
48	33	652
49	34	650
50	34	648
51	35	647
52	36	646
53	36	644
54	37	642
55	38	640
56	38	638
57	39	637
58	39	635
59	40	634
60	41	636
61	42	638
62	42	637
63	43	635
64	44	634
65	44	633
66	45	631
67	45	629
68	46	628
69	47	626
70	47	626
71	48	625
72	49	624
73	49	623
74	50	621
75	51	620
76	51	618
77	52	617
78	52	617
79	53	616
80	54	615
81	54	615
82	55	611
83	56	611
84	56	612
85	57	611
86	58	612
87	58	611
88	59	610
89	60	610
90	61	609
91	61	608
92	62	607
93	63	607
94	63	606
95	64	605
96	64	603
97	65	602
98	66	601
99	66	599
100	67	598
101	67	597
102	68	596
103	69	594
104	69	594
105	70	594
106	71	593
107	71	593
108	72	592
109	73	591
110	73	590
111	74	589
112	74	588
113	75	586
114	76	585
115	76	584
116	77	582
117	77	582
118	78	581
119	79	581
120	79	580
121	80	578
122	80	576
123	81	575
124	82	574
125	82	572
126	83	570
127	83	569
128	84	568
129	85	568
130	85	568
131	86	567
132	86	566
133	87	564
134	87	563
135	88	562
136	89	560
137	90	563
138	90	562
139	91	561
140	92	560
141	92	558
142	93	557
143	93	556
144	94	555
145	94	555
146	95	554
147	96	552
148	96	551
149	97	551
150	97	550
151	98	551
152	99	551
153	100	551
154	101	552
155	102	552
156	102	551
157	104	555
158	104	554
159	105	553
160	105	552
161	106	551
162	107	550
163	107	549
164	108	549
165	109	548
166	109	547
167	110	546
168	110	545
169	111	544
170	112	544
171	113	544
172	113	544
173	114	543
174	115	543
175	115	542
176	116	542
177	117	541
178	117	540
179	118	539
180	119	538
181	119	537
182	120	536
183	120	535
184	121	534
185	121	533
186	122	532
187	123	531
188	123	530
189	124	529
190	124	528
191	125	527
192	125	526
193	126	525
194	127	524
195	127	523
196	128	523
197	128	522
198	129	521
199	130	520
200	130	519
201	131	519
202	132	518
203	132	517
204	133	516
205	133	515
206	134	514
207	134	513
208	135	512
209	136	511
210	136	510
211	137	509
212	137	508
213	138	507
214	138	506
215	139	505
216	139	504
217	140	503
218	140	502
219	141	502
220	142	502
221	142	501
222	143	500
223	144	499
224	144	498
225	145	497
226	145	496
227	146	495
228	146	494
229	147	493
230	147	492
231	148	491
232	149	490
233	149	489
234	150	488
235	150	487
236	151	486
237	151	485
238	152	484
239	152	483
240	153	482
241	153	481
242	154	480
243	154	480
244	155	479
245	156	479
246	156	478
247	157	477
248	157	476
249	158	475
250	159	474
251	159	473
252	160	472
253	160	471
254	161	470
255	161	469
256	162	468
257	162	468
258	163	467
259	164	467
260	164	466
261	165	465
262	165	464
263	166	463
264	166	462
265	167	462
266	168	461
267	168	460
268	169	459
269	170	461
270	171	460
271	171	459
272	172	458
273	172	458
274	173	457
275	173	456
276	174	455
277	175	454
278	175	453
279	176	453
280	176	452
281	177	451
282	177	450
283	178	449
284	178	448
285	179	447
286	179	447
287	180	446
288	181	445
289	181	444
290	182	443
291	182	442
292	183	442
293	183	441
294	184	440
295	185	440
296	185	439
297	186	439
298	187	438
299	187	437
300	188	436
301	188	436
302	189	435
303	189	434
304	190	433
305	190	432
306	191	432
307	191	431
308	192	430
309	193	429
310	193	429
311	194	428
312	194	427
313	195	426
314	195	426
315	196	425
316	197	424
317	197	423
318	198	423
319	198	422
320	199	422
321	200	421
322	200	421
323	201	420
324	202	419
325	202	418
326	203	418
327	203	417
328	204	416
329	205	416
330	205	415
331	206	414
332	206	414
333	207	413
334	207	412
335	208	411
336	208	411
337	209	410
338	210	409
339	210	409
340	211	408
341	211	407
342	212	406
343	213	406
344	213	405
345	214	405
346	214	404
347	215	403
348	215	402
349	216	402
350	217	401
351	217	400
352	218	399
353	218	399
354	219	398
355	219	397
356	220	396
357	220	396
358	221	395
359	222	395
360	222	394
361	223	393
362	223	392
363	224	392
364	225	391
365	225	390
366	226	390
367	226	389
368	227	388
369	227	387
370	228	387
371	229	387
372	229	386
373	230	385
374	230	384
375	231	384
376	231	383
377	232	382
378	233	381
379	233	381
380	234	380
381	234	379
382	235	378
383	235	378
384	236	377
385	236	376
386	237	376
387	237	375
388	238	374
389	239	373
390	239	373
391	240	372
392	240	371
393	241	371
394	241	370
395	242	369
396	243	369
397	243	368
398	244	368
399	244	367
400	245	366
401	246	366
402	246	365
403	247	364
404	247	363
405	248	363
406	248	362
407	249	361
408	249	361
409	250	360
410	250	359
411	251	358
412	252	358
413	252	357
414	253	357
415	254	356
416	254	356
417	255	355
418	255	354
419	256	354
420	256	353
421	257	352
422	258	352
423	258	351
424	259	351
425	260	350
426	260	349
427	261	348
428	261	348
429	262	347
430	262	346
431	263	346
432	263	345
433	264	345
434	265	344
435	265	343
436	266	343
437	266	342
438	267	341
439	268	341
440	268	340
441	269	339
442	269	339
443	270	338
444	270	337
445	271	337
446	272	336
447	272	336
448	273	335
449	273	334
450	274	334
451	274	333
452	275	332
453	276	332
454	277	331
455	278	332
456	279	331
457	279	331
458	280	330
459	281	329
460	281	329
461	282	328
462	282	328
463	283	327
464	284	326
465	284	326
466	285	325
467	286	325
468	287	325
469	287	324
470	288	324
471	289	324
472	290	323
473	291	323
474	291	322
475	292	321
476	292	321
477	293	320
478	294	319
479	294	319
480	295	318
481	296	318
482	296	317
483	297	317
484	298	316
485	299	316
486	299	315
487	301	316
488	302	315
489	302	315
490	303	314
491	303	313
492	304	313
493	305	312
494	305	311
495	306	311
496	306	310
497	307	309
498	307	309
499	308	308
500	308	307
501	309	307
502	310	306
503	310	305
504	311	305
505	311	304
506	312	303
507	312	303
508	313	302
509	314	301
510	314	301
511	315	300
512	316	300
513	317	300
514	318	299
515	318	299
516	319	298
517	320	297
518	320	297
519	321	296
520	321	295
521	322	295
522	322	294
523	323	293
524	324	293
525	324	292
526	325	291
527	326	291
528	327	291
529	327	290
530	328	290
531	328	289
532	330	289
533	331	289
534	332	288
535	332	287
536	333	287
537	333	286
538	334	285
539	335	285
540	335	284
541	336	284
542	337	283
543	337	283
544	338	282
545	339	282
546	340	281
547	340	280
548	341	280
549	341	279
550	342	278
551	342	278
552	343	277
553	344	277
554	344	276
555	345	275
556	346	275
557	346	274
558	347	274
559	347	273
560	348	272
561	349	272
562	349	271
563	350	270
564	350	270
565	351	269
566	352	268
567	352	268
568	353	267
569	353	266
570	354	266
571	354	265
572	355	264
573	356	264
574	356	263
575	357	263
576	357	262
577	358	261
578	359	261
579	360	260
580	360	260
581	361	259
582	361	258
583	362	258
584	362	257
585	363	256
586	364	256
587	364	255
588	365	255
589	366	254
590	366	253
591	367	253
592	367	252
593	368	251
594	369	251
595	369	250
596	370	249
597	370	249
598	371	248
599	371	247
600	372	247
601	373	247
602	374	246
603	375	246
604	375	245
605	376	244
606	377	244
607	377	243
608	378	242
609	379	242
610	379	241
